User ID,Problem Index,Problem ID,Setting
person4,4,HumanEval_163,Setting-1 (Writing Code)
person4,5,HumanEval_137,Setting-2 (Fixing Code)
person4,6,HumanEval_127,Setting-3 (Fixing Tests)
person4,7,HumanEval_1,Setting-1 (Writing Code)
person4,8,HumanEval_143,Setting-2 (Fixing Code)
person4,9,HumanEval_37,Setting-3 (Fixing Tests)
person4,10,HumanEval_55,Setting-1 (Writing Code)
person4,11,MbppEval_167,Setting-2 (Fixing Code)
person4,12,MbppEval_86,Setting-3 (Fixing Tests)
person4,13,MbppEval_293,Setting-1 (Writing Code)
person4,14,MbppEval_286,Setting-2 (Fixing Code)
person4,15,MbppEval_434,Setting-3 (Fixing Tests)
person4,16,HumanEval_71,Setting-1 (Writing Code)
person4,17,HumanEval_147,Setting-2 (Fixing Code)
person4,18,HumanEval_39,Setting-3 (Fixing Tests)
person4,19,MbppEval_737,Setting-1 (Writing Code)
person4,20,HumanEval_86,Setting-2 (Fixing Code)
person5,1,MbppEval_809,Setting-2 (Fixing Code)
person5,2,HumanEval_141,Setting-3 (Fixing Tests)
person5,3,MbppEval_238,Setting-1 (Writing Code)
person5,4,HumanEval_163,Setting-2 (Fixing Code)
person5,5,HumanEval_137,Setting-3 (Fixing Tests)
person5,6,HumanEval_127,Setting-1 (Writing Code)
person5,7,HumanEval_1,Setting-2 (Fixing Code)
person5,8,HumanEval_143,Setting-3 (Fixing Tests)
person5,9,HumanEval_37,Setting-1 (Writing Code)
person5,10,HumanEval_55,Setting-2 (Fixing Code)
person5,11,MbppEval_167,Setting-3 (Fixing Tests)
person5,12,MbppEval_86,Setting-1 (Writing Code)
person5,13,MbppEval_293,Setting-2 (Fixing Code)
person5,14,MbppEval_286,Setting-3 (Fixing Tests)
person5,15,MbppEval_434,Setting-1 (Writing Code)
person5,16,HumanEval_71,Setting-2 (Fixing Code)
person5,17,HumanEval_147,Setting-3 (Fixing Tests)
person5,18,HumanEval_39,Setting-1 (Writing Code)
person5,19,MbppEval_737,Setting-2 (Fixing Code)
person5,20,HumanEval_86,Setting-3 (Fixing Tests)
person6,1,MbppEval_809,Setting-3 (Fixing Tests)
person6,2,HumanEval_141,Setting-1 (Writing Code)
person6,3,MbppEval_238,Setting-2 (Fixing Code)
person6,4,HumanEval_163,Setting-3 (Fixing Tests)
person6,5,HumanEval_137,Setting-1 (Writing Code)
person6,6,HumanEval_127,Setting-2 (Fixing Code)
person6,7,HumanEval_1,Setting-3 (Fixing Tests)
person6,8,HumanEval_143,Setting-1 (Writing Code)
person6,9,HumanEval_37,Setting-2 (Fixing Code)
person6,10,HumanEval_55,Setting-3 (Fixing Tests)
person6,11,MbppEval_167,Setting-1 (Writing Code)
person6,12,MbppEval_86,Setting-2 (Fixing Code)
person6,13,MbppEval_293,Setting-3 (Fixing Tests)
person6,14,MbppEval_286,Setting-1 (Writing Code)
person6,15,MbppEval_434,Setting-2 (Fixing Code)
person6,16,HumanEval_71,Setting-3 (Fixing Tests)
person6,17,HumanEval_147,Setting-1 (Writing Code)
person6,18,HumanEval_39,Setting-2 (Fixing Code)
person6,19,MbppEval_737,Setting-3 (Fixing Tests)
person6,20,HumanEval_86,Setting-1 (Writing Code)
person7,1,MbppEval_75,Setting-1 (Writing Code)
person7,2,HumanEval_19,Setting-2 (Fixing Code)
person7,3,HumanEval_121,Setting-3 (Fixing Tests)
person7,4,HumanEval_10,Setting-1 (Writing Code)
person7,5,MbppEval_803,Setting-2 (Fixing Code)
person7,6,MbppEval_435,Setting-3 (Fixing Tests)
person7,7,HumanEval_52,Setting-1 (Writing Code)
person7,8,HumanEval_113,Setting-2 (Fixing Code)
person7,9,HumanEval_149,Setting-3 (Fixing Tests)
person7,10,MbppEval_292,Setting-1 (Writing Code)
person7,11,MbppEval_612,Setting-2 (Fixing Code)
person7,12,MbppEval_57,Setting-3 (Fixing Tests)
person7,13,MbppEval_808,Setting-1 (Writing Code)
person7,14,MbppEval_59,Setting-2 (Fixing Code)
person7,15,MbppEval_285,Setting-3 (Fixing Tests)
person7,16,MbppEval_62,Setting-1 (Writing Code)
person7,17,HumanEval_119,Setting-2 (Fixing Code)
person7,18,MbppEval_458,Setting-3 (Fixing Tests)
person7,19,HumanEval_158,Setting-1 (Writing Code)
person7,20,MbppEval_644,Setting-2 (Fixing Code)
person8,1,MbppEval_75,Setting-2 (Fixing Code)
person8,2,HumanEval_19,Setting-3 (Fixing Tests)
person8,3,HumanEval_121,Setting-1 (Writing Code)
person8,4,HumanEval_10,Setting-2 (Fixing Code)
person8,5,MbppEval_803,Setting-3 (Fixing Tests)
person8,6,MbppEval_435,Setting-1 (Writing Code)
person8,7,HumanEval_52,Setting-2 (Fixing Code)
person8,8,HumanEval_113,Setting-3 (Fixing Tests)
person8,9,HumanEval_149,Setting-1 (Writing Code)
person8,10,MbppEval_292,Setting-2 (Fixing Code)
person8,11,MbppEval_612,Setting-3 (Fixing Tests)
person8,12,MbppEval_57,Setting-1 (Writing Code)
person8,13,MbppEval_808,Setting-2 (Fixing Code)
person8,14,MbppEval_59,Setting-3 (Fixing Tests)
person8,15,MbppEval_285,Setting-1 (Writing Code)
person8,16,MbppEval_62,Setting-2 (Fixing Code)
person8,17,HumanEval_119,Setting-3 (Fixing Tests)
person8,18,MbppEval_458,Setting-1 (Writing Code)
person8,19,HumanEval_158,Setting-2 (Fixing Code)
person8,20,MbppEval_644,Setting-3 (Fixing Tests)
person9,1,MbppEval_75,Setting-3 (Fixing Tests)
person9,2,HumanEval_19,Setting-1 (Writing Code)
person9,3,HumanEval_121,Setting-2 (Fixing Code)
person9,4,HumanEval_10,Setting-3 (Fixing Tests)
person9,5,MbppEval_803,Setting-1 (Writing Code)
person9,6,MbppEval_435,Setting-2 (Fixing Code)
person9,7,HumanEval_52,Setting-3 (Fixing Tests)
person9,8,HumanEval_113,Setting-1 (Writing Code)
person9,9,HumanEval_149,Setting-2 (Fixing Code)
person9,10,MbppEval_292,Setting-3 (Fixing Tests)
person9,11,MbppEval_612,Setting-1 (Writing Code)
person9,12,MbppEval_57,Setting-2 (Fixing Code)
person9,13,MbppEval_808,Setting-3 (Fixing Tests)
person9,14,MbppEval_59,Setting-1 (Writing Code)
person9,15,MbppEval_285,Setting-2 (Fixing Code)
person9,16,MbppEval_62,Setting-3 (Fixing Tests)
person9,17,HumanEval_119,Setting-1 (Writing Code)
person9,18,MbppEval_458,Setting-2 (Fixing Code)
person9,19,HumanEval_158,Setting-3 (Fixing Tests)
person9,20,MbppEval_644,Setting-1 (Writing Code)
person10,1,MbppEval_809,Setting-1 (Writing Code)
person10,2,HumanEval_141,Setting-2 (Fixing Code)
person10,3,MbppEval_238,Setting-3 (Fixing Tests)
person10,4,HumanEval_163,Setting-1 (Writing Code)
person10,5,HumanEval_137,Setting-2 (Fixing Code)
person10,6,HumanEval_127,Setting-3 (Fixing Tests)
person10,7,HumanEval_1,Setting-1 (Writing Code)
person10,8,HumanEval_143,Setting-2 (Fixing Code)
person10,9,HumanEval_37,Setting-3 (Fixing Tests)
person10,10,HumanEval_55,Setting-1 (Writing Code)
person10,11,MbppEval_167,Setting-2 (Fixing Code)
person10,12,MbppEval_86,Setting-3 (Fixing Tests)
person10,13,MbppEval_293,Setting-1 (Writing Code)
person10,14,MbppEval_286,Setting-2 (Fixing Code)
person10,15,MbppEval_434,Setting-3 (Fixing Tests)
person10,16,HumanEval_71,Setting-1 (Writing Code)
person10,17,HumanEval_147,Setting-2 (Fixing Code)
person10,18,HumanEval_39,Setting-3 (Fixing Tests)
person10,19,MbppEval_737,Setting-1 (Writing Code)
person10,20,HumanEval_86,Setting-2 (Fixing Code)
person11,1,MbppEval_809,Setting-2 (Fixing Code)
person11,2,HumanEval_141,Setting-3 (Fixing Tests)
person11,3,MbppEval_238,Setting-1 (Writing Code)
person11,4,HumanEval_163,Setting-2 (Fixing Code)
person11,5,HumanEval_137,Setting-3 (Fixing Tests)
person11,6,HumanEval_127,Setting-1 (Writing Code)
person11,7,HumanEval_1,Setting-2 (Fixing Code)
person11,8,HumanEval_143,Setting-3 (Fixing Tests)
person11,9,HumanEval_37,Setting-1 (Writing Code)
person11,10,HumanEval_55,Setting-2 (Fixing Code)
person11,11,MbppEval_167,Setting-3 (Fixing Tests)
person11,12,MbppEval_86,Setting-1 (Writing Code)
person11,13,MbppEval_293,Setting-2 (Fixing Code)
person11,14,MbppEval_286,Setting-3 (Fixing Tests)
person11,15,MbppEval_434,Setting-1 (Writing Code)
person11,16,HumanEval_71,Setting-2 (Fixing Code)
person11,17,HumanEval_147,Setting-3 (Fixing Tests)
person11,18,HumanEval_39,Setting-1 (Writing Code)
person11,19,MbppEval_737,Setting-2 (Fixing Code)
person11,20,HumanEval_86,Setting-3 (Fixing Tests)
person12,1,MbppEval_809,Setting-3 (Fixing Tests)
person12,2,HumanEval_141,Setting-1 (Writing Code)
person12,3,MbppEval_238,Setting-2 (Fixing Code)
person12,4,HumanEval_163,Setting-3 (Fixing Tests)
person12,5,HumanEval_137,Setting-1 (Writing Code)
person12,6,HumanEval_127,Setting-2 (Fixing Code)
person12,7,HumanEval_1,Setting-3 (Fixing Tests)
person12,8,HumanEval_143,Setting-1 (Writing Code)
person12,9,HumanEval_37,Setting-2 (Fixing Code)
person12,10,HumanEval_55,Setting-3 (Fixing Tests)
person12,11,MbppEval_167,Setting-1 (Writing Code)
person12,12,MbppEval_86,Setting-2 (Fixing Code)
person12,13,MbppEval_293,Setting-3 (Fixing Tests)
person12,14,MbppEval_286,Setting-1 (Writing Code)
person12,15,MbppEval_434,Setting-2 (Fixing Code)
person12,16,HumanEval_71,Setting-3 (Fixing Tests)
person12,17,HumanEval_147,Setting-1 (Writing Code)
person12,18,HumanEval_39,Setting-2 (Fixing Code)
person12,19,MbppEval_737,Setting-3 (Fixing Tests)
person12,20,HumanEval_86,Setting-1 (Writing Code)
